train_acc,loss,0,1
24.966,13.9013,,
25.136,14.0637,,
25.134,14.3457,,
25.199,14.2472,,
25.263,14.1394,,
25.195,14.3742,,
25.161,14.4511,,
25.223,14.4716,,
25.158,14.491,,
25.406,14.3189,,
25.371,14.2462,,
25.551,14.1023,,
25.576,14.0391,,
25.511,14.0274,,
25.476,14.0456,,
25.413,14.1133,,
25.526,14.0548,,
25.492,13.9336,,
25.545,13.832,,
25.54,13.7965,,
25.563,13.8796,,
25.446,13.8377,,
25.442,13.8104,,
25.521,13.744,,
25.598,13.7129,,
25.62,13.5765,,
25.641,13.6806,,
25.609,13.6354,,
25.657,13.5667,,
25.677,13.6371,,
25.671,13.6143,,
25.589,13.6428,,
25.61,13.562,,
25.605,13.4898,,
25.65,13.4429,,
25.67,13.5344,,
25.664,13.5406,,
25.684,13.4752,,
25.751,13.4347,,
25.793,13.3909,,
25.954,13.3486,,
25.994,13.4698,,
26.057,13.4608,,
26.143,13.4321,,
26.134,13.4974,,
26.195,13.5429,,
26.163,13.5042,,
26.268,13.5897,,
26.304,13.6537,,
26.295,13.6889,,
26.308,13.7744,,
26.32,13.724,,
26.377,13.7034,,
26.476,13.7473,,
26.487,13.7061,,
26.455,13.7185,,
26.509,13.6639,,
26.541,13.6507,,
26.699,13.6594,,
26.688,13.641,,
26.676,13.6403,,
26.727,13.7151,,
26.736,13.703,,
26.826,13.746,,
26.794,13.7093,,
26.903,13.7486,,
26.951,13.7033,,
26.938,13.6962,,
26.887,2.5611,,
26.953,2.5021,,
26.98,2.416,,
27.064,2.4002,,
27.109,2.3088,,
27.21,2.2944,,
27.159,2.3321,,
27.108,2.3496,,
27.115,2.3423,,
27.121,2.3478,,
27.108,2.3213,,
27.151,2.3039,,
27.156,2.3111,,
27.198,2.2984,,
27.222,2.3091,,
27.245,2.3217,,
27.232,2.3174,,
27.255,2.3187,,
27.313,2.3065,,
27.37,2.3001,,
27.409,2.2835,,
27.431,2.2767,,
27.452,2.2715,,
27.49,2.2589,,
27.527,2.2521,,
27.565,2.2477,,
27.652,2.2468,,
27.772,2.2679,,
27.774,2.2668,,
27.817,2.264,,
31.25,2.2674,,
34.375,2.2715,,
32.292,2.2647,,
31.25,2.2732,,
33.125,2.2692,,
32.292,2.2673,,
32.143,2.265,,
31.641,2.2637,,
30.556,2.2497,,
30.625,2.2481,,
31.818,2.2452,,
32.031,2.2492,,
31.49,2.2509,,
31.696,2.25,,
30.625,2.2433,,
30.273,2.2386,,
29.779,2.2335,,
29.167,2.2386,,
28.783,2.2345,,
29.062,2.23,,
29.167,2.2314,,
29.545,2.2359,,
29.484,2.2372,,
29.688,2.2322,,
30.0,2.2293,,
30.288,2.23,,
30.208,2.2299,,
29.911,2.2297,,
29.741,2.2288,,
29.688,2.2244,,
29.637,2.2217,,
29.492,2.2232,,
30.019,2.2215,,
29.779,2.2161,,
29.732,2.2185,,
29.774,2.2173,,
30.152,2.2149,,
30.345,2.2138,,
30.849,2.2171,,
30.547,2.2203,,
30.64,2.2181,,
30.655,2.2192,,
30.596,2.2207,,
30.824,2.2195,,
31.181,2.2183,,
31.726,2.2193,,
31.981,2.2195,,
31.706,2.217,,
31.824,2.2183,,
32.062,2.2168,,
31.863,2.2133,,
31.731,2.2079,,
31.958,2.2077,,
32.118,2.2042,,
32.33,2.2037,,
32.478,2.1997,,
32.621,2.1977,,
32.705,2.1999,,
32.892,2.1992,,
32.812,2.1979,,
32.787,2.1983,,
32.712,2.1968,,
32.738,2.1968,,
32.91,2.1948,,
32.981,2.1937,,
33.239,2.1932,,
33.256,2.1952,,
33.272,2.1933,,
33.107,2.1928,,
32.902,2.1895,,
32.879,2.1891,,
32.726,2.1845,,
32.705,2.1847,,
32.686,2.1863,,
32.583,2.1865,,
32.566,2.1878,,
32.427,2.1865,,
32.452,2.1859,,
32.516,2.1854,,
32.578,2.1863,,
32.716,2.185,,
32.889,2.1863,,
33.02,2.1865,,
33.073,2.1862,,
33.051,2.1852,,
33.14,2.1841,,
33.226,2.1844,,
33.203,2.1842,,
33.216,2.183,,
33.264,2.1828,,
33.242,2.1848,,
33.39,2.1864,,
33.434,2.1866,,
33.444,2.1862,,
33.586,2.1849,,
33.594,2.184,,
33.634,2.183,,
33.705,2.1815,,
33.744,2.18,,
33.812,2.1799,,
33.818,2.1769,,
33.946,2.1736,,
33.92,2.1704,,
33.924,2.1676,,
33.81,2.1676,,
33.726,2.1668,,
33.732,2.1686,,
33.652,2.1667,,
33.572,2.1661,,
33.608,2.1666,,
33.699,2.1673,,
33.733,2.1666,,
33.794,2.1653,,
33.827,2.1641,,
33.913,2.1656,,
34.052,2.1646,,
33.974,2.1629,,
34.031,2.1637,,
34.06,2.16,,
34.036,2.1595,,
33.962,2.1586,,
34.042,2.157,,
34.096,2.1566,,
34.022,2.1538,,
34.175,2.1544,,
34.177,2.1519,,
34.203,2.1536,,
34.229,2.1524,,
34.205,2.1532,,
34.231,2.1513,,
34.375,2.1512,,
34.399,2.149,,
34.422,2.1464,,
34.515,2.1435,,
34.421,2.1442,,
34.536,2.1436,,
34.466,2.143,,
34.534,2.144,,
34.487,2.1431,,
34.509,2.1427,,
34.419,2.1426,,
34.463,2.141,,
34.484,2.1405,,
34.57,2.1405,,
34.547,2.1411,,
34.568,2.1393,,
34.588,2.1377,,
34.586,2.1361,,
34.69,2.1348,,
34.708,2.1347,,
34.768,2.1345,,
34.766,2.1335,,
34.763,2.1323,,
34.821,2.1322,,
34.758,2.131,,
34.816,2.129,,
34.833,2.1278,,
34.771,2.1267,,
34.689,11.4663,,
34.727,11.7655,,
34.686,12.2561,,
34.761,11.4974,,
34.778,11.4673,,
34.87,11.3454,,
34.848,11.1422,,
34.846,11.0568,,
34.843,11.0556,,
34.84,11.1634,,
34.893,11.0918,,
34.926,10.9771,,
34.887,11.1162,,
34.975,11.1745,,
34.989,11.1191,,
34.968,11.1018,,
34.911,11.2115,,
34.979,11.2092,,
35.028,11.2239,,
35.095,11.2419,,
35.073,11.1749,,
35.104,11.1312,,
35.1,11.0903,,
35.148,11.0459,,
35.126,11.0658,,
35.139,11.0862,,
35.203,11.1007,,
35.299,11.0879,,
35.344,11.0599,,
35.367,11.0224,,
34.375,10.9911,,
35.938,11.0358,,
35.417,11.0057,,
34.375,10.9927,,
37.5,10.9679,,
36.979,10.9672,,
36.161,10.928,,
