train_acc,loss,0,1
25.408,9.345,,
25.437,9.3091,,
25.532,9.3082,,
25.428,9.3176,,
25.423,9.327,,
25.419,9.3221,,
25.319,9.3307,,
25.221,9.326,,
25.344,9.3261,,
25.464,9.3195,,
25.551,9.3188,,
25.576,9.303,,
25.631,9.2964,,
25.625,9.3102,,
25.56,9.2955,,
25.555,9.2969,,
25.608,9.3017,,
25.487,9.2899,,
25.369,9.2902,,
25.422,9.285,,
25.335,9.2831,,
25.304,9.2757,,
25.329,9.2713,,
25.408,9.2802,,
25.431,9.2787,,
25.507,9.2844,,
25.556,9.2809,,
25.578,9.2856,,
25.573,9.2914,,
25.491,9.2977,,
25.384,9.3086,,
25.483,9.3068,,
25.479,9.3034,,
25.4,9.3104,,
25.397,9.3151,,
25.468,9.3143,,
25.488,9.3159,,
25.533,9.3097,,
25.601,9.3191,,
25.763,9.3215,,
25.852,9.3209,,
25.846,9.314,,
25.91,9.3263,,
25.903,9.3344,,
26.034,9.3376,,
26.049,9.3349,,
26.155,9.3411,,
26.169,9.3433,,
26.228,9.346,,
26.263,9.344,,
26.364,9.3328,,
26.333,9.3318,,
26.541,9.327,,
26.53,9.3219,,
26.541,9.3254,,
26.616,9.324,,
26.647,9.3255,,
26.72,9.3378,,
26.708,9.3361,,
26.8,9.3381,,
26.871,9.3357,,
26.859,9.3319,,
26.989,9.3375,,
26.915,9.334,,
26.963,9.3367,,
26.99,9.3325,,
26.958,9.3326,,
26.906,2.2907,,
26.953,2.3344,,
26.922,2.3756,,
27.045,2.3647,,
27.147,2.3155,,
27.229,2.3035,,
27.178,2.316,,
27.24,2.3575,,
27.227,2.3697,,
27.232,2.3721,,
27.311,2.3365,,
27.335,2.3316,,
27.303,2.3244,,
27.38,2.3143,,
27.439,2.3401,,
27.514,2.355,,
27.482,2.3538,,
27.468,2.3439,,
27.56,2.3355,,
27.563,2.3291,,
27.654,2.3112,,
27.708,2.3152,,
27.762,2.3033,,
27.799,2.2914,,
27.835,2.2932,,
27.819,2.2924,,
27.804,2.2921,,
27.856,2.3053,,
27.924,2.3034,,
27.933,2.3008,,
18.75,2.3042,,
25.0,2.3052,,
27.083,2.3039,,
25.0,2.3143,,
28.125,2.3104,,
27.604,2.3093,,
27.679,2.3061,,
27.344,2.2992,,
27.083,2.2895,,
26.875,2.2915,,
28.409,2.2889,,
28.385,2.287,,
28.846,2.2813,,
29.018,2.2757,,
28.542,2.2711,,
27.734,2.2681,,
27.022,2.2612,,
27.431,2.2641,,
26.809,2.2602,,
26.875,2.2555,,
27.381,2.2546,,
27.841,2.2557,,
28.533,2.2575,,
28.646,2.2496,,
28.875,2.2447,,
28.966,2.2469,,
28.935,2.2429,,
28.906,2.2403,,
28.772,2.2404,,
28.854,2.237,,
28.427,2.2347,,
28.711,2.2334,,
28.883,2.2355,,
28.676,2.2314,,
28.661,2.2344,,
28.733,2.2289,,
28.801,2.2245,,
28.947,2.2208,,
29.087,2.2209,,
28.906,2.2315,,
29.421,2.2313,,
29.762,2.2319,,
29.724,2.2344,,
29.972,2.2319,,
30.208,2.231,,
30.435,2.233,,
30.718,2.2344,,
30.729,2.2333,,
30.867,2.2319,,
31.062,2.2289,,
31.066,2.2259,,
31.07,2.2225,,
31.25,2.2221,,
31.366,2.2186,,
31.534,2.2165,,
31.417,2.2124,,
31.689,2.212,,
31.789,2.211,,
31.886,2.2075,,
31.875,2.2041,,
31.66,2.2047,,
31.804,2.2014,,
31.696,2.2023,,
31.689,2.1997,,
31.635,2.1997,,
31.771,2.1995,,
31.95,2.2,,
32.077,2.1998,,
32.201,2.2006,,
32.188,2.1995,,
32.218,2.1992,,
32.075,2.1956,,
31.978,2.1951,,
32.095,2.194,,
32.042,2.1942,,
31.99,2.1941,,
32.021,2.1941,,
32.091,2.1936,,
32.278,2.1951,,
32.344,2.2009,,
32.6,2.2017,,
32.812,2.2025,,
32.944,2.2021,,
33.036,2.2014,,
32.978,2.1988,,
33.067,2.1991,,
33.226,2.2004,,
33.31,2.1986,,
33.462,2.198,,
33.472,2.1967,,
33.482,2.1978,,
33.594,2.1985,,
33.602,2.1967,,
33.81,2.1958,,
33.717,2.1955,,
33.757,2.1941,,
33.731,2.1931,,
33.769,2.1929,,
33.712,2.1913,,
33.781,2.1886,,
33.88,2.185,,
34.007,2.1809,,
33.95,2.1807,,
33.894,2.1779,,
33.869,2.1782,,
33.962,2.1749,,
33.937,2.1758,,
33.999,2.1746,,
33.945,2.1748,,
33.892,2.1734,,
33.953,2.1713,,
33.929,2.1697,,
33.905,2.1689,,
34.101,2.1657,,
34.185,2.168,,
34.133,2.1688,,
34.161,2.1676,,
34.137,2.1666,,
34.165,2.1665,,
34.167,2.1666,,
34.091,2.1648,,
34.119,2.1607,,
34.248,2.1602,,
34.249,2.1564,,
34.2,2.158,,
34.251,2.1565,,
34.227,2.1574,,
34.253,2.1573,,
34.205,2.1584,,
34.183,2.157,,
34.375,2.1574,,
34.446,2.1537,,
34.398,2.1513,,
34.468,2.148,,
34.444,2.148,,
34.536,2.146,,
34.58,2.1462,,
34.579,2.1454,,
34.6,2.1438,,
34.598,2.1432,,
34.597,2.1441,,
34.749,2.1431,,
34.703,2.1422,,
34.831,2.1414,,
34.849,2.1432,,
34.846,2.1426,,
34.843,2.1416,,
34.882,2.1418,,
34.941,2.1402,,
34.938,2.1381,,
34.996,2.1377,,
35.012,2.1371,,
35.029,2.1365,,
35.126,2.137,,
35.02,2.1368,,
35.136,2.135,,
35.211,2.1332,,
35.186,2.1329,,
35.161,9.5333,,
35.234,9.5218,,
35.248,9.4311,,
35.378,9.3811,,
35.449,9.5187,,
35.442,9.5289,,
35.417,9.5637,,
35.429,9.5947,,
35.442,9.5909,,
35.361,9.624,,
35.447,9.6129,,
35.478,9.5904,,
35.38,9.6459,,
35.392,9.6161,,
35.513,9.6219,,
35.56,9.6332,,
35.518,9.6526,,
35.529,9.6462,,
35.558,9.6463,,
35.586,9.6507,,
35.597,9.6555,,
35.677,9.6387,,
35.687,9.6285,,
35.766,9.6117,,
35.775,9.6092,,
35.734,9.6244,,
35.709,9.6144,,
35.769,9.6176,,
35.812,9.6218,,
35.833,9.616,,
25.0,9.6165,,
32.812,9.6122,,
32.292,9.6125,,
29.688,9.5995,,
33.125,9.5964,,
33.854,9.6074,,
31.696,9.6019,,
31.641,9.6074,,
31.25,9.6067,,
32.188,9.6133,,
33.523,9.6175,,
34.896,9.6204,,
34.615,9.63,,
35.491,9.6305,,
35.0,9.63,,
34.766,9.6376,,
34.926,9.6451,,
34.896,9.6433,,
34.046,9.6452,,
34.688,9.6403,,
34.673,9.6506,,
35.085,9.6543,,
35.462,9.6533,,
35.807,9.6468,,
35.75,9.6537,,
35.577,9.6622,,
35.648,9.663,,
35.714,9.6641,,
35.776,9.6715,,
