Loss,Mem,lr
7.1094,66.0,1.0
7.1957,66.0,1.0
6.9367,66.0,1.0
6.9088,66.0,1.0
6.9314,66.0,1.0
6.8862,66.0,1.0
7.091,66.0,1.0
7.0107,66.0,1.0
6.8638,66.0,1.0
7.2807,66.0,1.0
7.0672,66.0,1.0
7.1135,66.0,1.0
7.0299,66.0,1.0
7.0291,66.0,1.0
7.1707,66.0,1.0
7.1358,66.0,1.0
6.9363,66.0,1.0
6.9063,66.0,1.0
7.1306,66.0,1.0
6.6788,66.0,1.0
7.2452,66.0,1.0
6.9013,66.0,1.0
7.1705,66.0,1.0
7.1442,66.0,1.0
7.1928,66.0,1.0
6.8961,66.0,1.0
6.9292,66.0,1.0
6.9592,66.0,1.0
7.1765,66.0,1.0
6.9044,66.0,1.0
6.9777,66.0,1.0
6.7347,66.0,1.0
7.1859,66.0,1.0
6.8144,66.0,1.0
6.9351,66.0,1.0
7.0392,66.0,1.0
7.0552,66.0,1.0
7.0781,66.0,1.0
6.7302,66.0,1.0
6.7711,66.0,1.0
6.938,66.0,1.0
6.7422,66.0,1.0
7.0755,66.0,1.0
6.875,66.0,1.0
7.1274,66.0,1.0
7.0623,66.0,1.0
7.162,66.0,1.0
7.2465,66.0,1.0
7.003,66.0,1.0
6.9581,66.0,1.0
6.9614,66.0,1.0
7.1737,66.0,1.0
7.1154,66.0,1.0
6.9972,66.0,1.0
6.7996,66.0,1.0
7.0651,66.0,1.0
6.8781,66.0,1.0
6.7432,66.0,1.0
6.556,66.0,1.0
7.3661,66.0,1.0
6.5433,66.0,1.0
6.792,66.0,1.0
6.9724,66.0,1.0
6.6796,66.0,1.0
6.8087,66.0,1.0
6.948,66.0,1.0
6.8786,66.0,1.0
6.9882,66.0,1.0
6.7076,66.0,1.0
7.0123,66.0,1.0
6.7898,66.0,1.0
6.941,66.0,1.0
7.0128,66.0,1.0
5.955,66.0,1.0
6.7614,66.0,1.0
6.7067,66.0,1.0
6.9008,66.0,1.0
7.0158,66.0,1.0
6.8048,66.0,1.0
6.9077,66.0,1.0
7.0004,66.0,1.0
7.25,66.0,1.0
6.8947,66.0,1.0
6.8811,66.0,1.0
6.6414,66.0,1.0
7.075,66.0,1.0
7.0112,66.0,1.0
6.8024,66.0,1.0
6.7587,66.0,1.0
7.0894,66.0,1.0
6.8065,66.0,1.0
7.027,66.0,1.0
7.1226,66.0,1.0
7.3647,66.0,1.0
6.9274,66.0,1.0
6.915,66.0,1.0
6.7787,66.0,1.0
6.7507,66.0,1.0
7.2588,66.0,1.0
6.9722,66.0,1.0
6.8008,66.0,1.0
6.8234,66.0,1.0
7.1829,66.0,1.0
6.7652,66.0,1.0
6.7128,66.0,1.0
6.4688,66.0,1.0
6.8004,66.0,1.0
7.097,66.0,1.0
6.9866,66.0,1.0
6.6818,66.0,1.0
7.0438,66.0,1.0
7.125,66.0,1.0
6.9875,66.0,1.0
6.9936,66.0,1.0
6.7877,66.0,1.0
7.0541,66.0,1.0
7.0163,66.0,1.0
6.6537,66.0,1.0
6.9846,66.0,1.0
7.0398,66.0,1.0
6.9606,66.0,1.0
7.3342,66.0,1.0
7.1062,66.0,1.0
7.2033,66.0,1.0
6.1764,66.0,1.0
7.0036,66.0,1.0
7.0707,66.0,1.0
7.0085,66.0,1.0
7.0483,66.0,1.0
7.0599,66.0,1.0
6.743,66.0,1.0
7.0238,66.0,1.0
7.0211,66.0,1.0
6.9755,66.0,1.0
6.9935,66.0,1.0
7.3161,66.0,1.0
6.9242,66.0,1.0
6.9813,66.0,1.0
6.9557,66.0,1.0
6.9969,66.0,1.0
6.7542,66.0,1.0
6.8708,66.0,1.0
7.3887,66.0,1.0
6.9551,66.0,1.0
7.2353,66.0,1.0
7.0724,66.0,1.0
7.0363,66.0,1.0
7.0759,66.0,1.0
6.9452,66.0,1.0
7.1649,66.0,1.0
6.968,66.0,1.0
7.1573,66.0,1.0
7.0425,66.0,1.0
6.9701,66.0,1.0
7.0889,66.0,1.0
7.1676,66.0,1.0
6.9328,66.0,1.0
7.0917,66.0,1.0
6.8669,66.0,1.0
6.9847,66.0,1.0
6.9529,66.0,1.0
6.6939,66.0,1.0
6.8698,66.0,1.0
6.7532,66.0,1.0
6.9905,66.0,1.0
7.0831,66.0,1.0
6.7611,66.0,1.0
7.159,66.0,1.0
7.0177,66.0,1.0
7.1341,66.0,1.0
7.1527,66.0,1.0
6.9447,66.0,1.0
7.1063,66.0,1.0
7.12,66.0,1.0
6.8943,66.0,1.0
6.8877,66.0,1.0
6.7894,66.0,1.0
6.6754,66.0,1.0
7.1432,66.0,1.0
6.9041,66.0,1.0
6.4039,66.0,1.0
6.7308,66.0,1.0
6.8114,66.0,1.0
7.0726,66.0,1.0
6.9174,66.0,1.0
6.9414,66.0,1.0
6.8941,66.0,1.0
7.0642,66.0,1.0
6.9527,66.0,1.0
7.0058,66.0,1.0
7.1996,66.0,1.0
6.9563,66.0,1.0
6.9907,66.0,1.0
7.0505,66.0,1.0
6.8741,66.0,1.0
7.0354,66.0,1.0
6.7492,66.0,1.0
7.0209,66.0,1.0
7.0177,66.0,1.0
6.7063,66.0,1.0
6.8865,66.0,1.0
6.8124,66.0,1.0
6.8551,66.0,1.0
7.0233,66.0,1.0
6.7541,66.0,1.0
6.823,66.0,1.0
7.0792,66.0,1.0
7.0416,66.0,1.0
6.8257,66.0,1.0
7.0015,66.0,1.0
7.0473,66.0,1.0
7.0104,66.0,1.0
7.3221,66.0,1.0
6.8088,66.0,1.0
6.9068,66.0,1.0
6.9527,66.0,1.0
7.019,66.0,1.0
6.9812,66.0,1.0
7.1061,66.0,1.0
6.6125,66.0,1.0
7.0462,66.0,1.0
6.8312,66.0,1.0
7.1842,66.0,1.0
7.1933,66.0,1.0
6.8585,66.0,1.0
6.8721,66.0,1.0
6.996,66.0,1.0
7.0775,66.0,1.0
7.0691,66.0,1.0
6.6145,66.0,1.0
7.0574,66.0,1.0
6.9064,66.0,1.0
6.8952,66.0,1.0
7.2099,66.0,1.0
7.0156,66.0,1.0
6.7758,66.0,1.0
6.8967,66.0,1.0
