Loss,Mem,lr
7.2122,41.8,1.0
7.0338,41.8,1.0
6.8529,41.8,1.0
7.0765,41.8,1.0
7.1836,41.8,1.0
7.2119,41.8,1.0
7.0411,41.8,1.0
7.0653,41.8,1.0
7.1211,41.8,1.0
6.8815,41.8,1.0
6.901,41.8,1.0
7.0699,41.8,1.0
6.7046,41.8,1.0
7.6258,41.8,1.0
7.3158,41.8,1.0
6.9247,41.8,1.0
7.0859,41.8,1.0
7.0744,41.8,1.0
7.1415,41.8,1.0
6.735,41.8,1.0
7.1416,41.8,1.0
7.0131,41.8,1.0
6.9765,41.8,1.0
7.2833,41.8,1.0
7.008,41.8,1.0
7.1889,41.8,1.0
7.0847,41.8,1.0
7.2209,41.8,1.0
6.9852,41.8,1.0
6.9415,41.8,1.0
6.8749,41.8,1.0
7.1136,41.8,1.0
6.9788,41.8,1.0
7.0273,41.8,1.0
7.0798,41.8,1.0
7.0058,41.8,1.0
7.0601,41.8,1.0
7.1031,41.8,1.0
7.0569,41.8,1.0
7.0504,41.8,1.0
7.4278,41.8,1.0
7.0094,41.8,1.0
7.3071,41.8,1.0
7.1896,41.8,1.0
6.3097,41.8,1.0
6.7465,41.8,1.0
6.9268,41.8,1.0
6.9433,41.8,1.0
6.7992,41.8,1.0
6.9002,41.8,1.0
7.1746,41.8,1.0
7.0239,41.8,1.0
6.8483,41.8,1.0
6.9123,41.8,1.0
6.9838,41.8,1.0
7.0036,41.8,1.0
7.2517,41.8,1.0
7.0286,41.8,1.0
7.0467,41.8,1.0
7.0661,41.8,1.0
7.0162,41.8,1.0
7.1187,41.8,1.0
6.87,41.8,1.0
6.8658,41.8,1.0
7.0874,41.8,1.0
6.7019,41.8,1.0
7.1266,41.8,1.0
6.791,41.8,1.0
7.0516,41.8,1.0
7.2479,41.8,1.0
7.2269,41.8,1.0
7.2162,41.8,1.0
7.2221,41.8,1.0
7.1002,41.8,1.0
7.0783,41.8,1.0
7.1774,41.8,1.0
6.9286,41.8,1.0
6.7398,41.8,1.0
7.1801,41.8,1.0
7.1406,41.8,1.0
7.2674,41.8,1.0
7.0491,41.8,1.0
6.6837,41.8,1.0
7.194,41.8,1.0
6.9184,41.8,1.0
7.261,41.8,1.0
6.9249,41.8,1.0
6.9699,41.8,1.0
6.7608,41.8,1.0
7.149,41.8,1.0
6.9195,41.8,1.0
7.1617,41.8,1.0
7.1353,41.8,1.0
7.3422,41.8,1.0
7.0749,41.8,1.0
7.037,41.8,1.0
6.9841,41.8,1.0
6.8383,41.8,1.0
6.8842,41.8,1.0
6.7267,41.8,1.0
6.9539,41.8,1.0
7.1569,41.8,1.0
7.1032,41.8,1.0
7.2796,41.8,1.0
6.7597,41.8,1.0
6.9438,41.8,1.0
7.0402,41.8,1.0
6.9015,41.8,1.0
6.898,41.8,1.0
7.2632,41.8,1.0
6.7252,41.8,1.0
6.859,41.8,1.0
6.8757,41.8,1.0
6.7436,41.8,1.0
7.3068,41.8,1.0
7.1547,41.8,1.0
6.913,41.8,1.0
6.8594,41.8,1.0
6.9375,41.8,1.0
7.0206,41.8,1.0
6.9163,41.8,1.0
7.017,41.8,1.0
7.177,41.8,1.0
7.1252,41.8,1.0
6.9747,41.8,1.0
7.0924,41.8,1.0
6.9373,41.8,1.0
6.9066,41.8,1.0
6.8529,41.8,1.0
6.9194,41.8,1.0
6.5398,41.8,1.0
7.1479,41.8,1.0
6.7421,41.8,1.0
6.9143,41.8,1.0
7.0207,41.8,1.0
6.9841,41.8,1.0
7.0744,41.8,1.0
7.3341,41.8,1.0
6.8529,41.8,1.0
7.0748,41.8,1.0
6.8655,41.8,1.0
7.4073,41.8,1.0
7.0871,41.8,1.0
7.0005,41.8,1.0
6.9981,41.8,1.0
7.0392,41.8,1.0
6.9522,41.8,1.0
7.0449,41.8,1.0
7.1742,41.8,1.0
7.0676,41.8,1.0
7.2925,41.8,1.0
7.0644,41.8,1.0
6.7819,41.8,1.0
6.8676,41.8,1.0
7.0276,41.8,1.0
6.9328,41.8,1.0
6.9011,41.8,1.0
6.9258,41.8,1.0
7.1688,41.8,1.0
7.0544,41.8,1.0
7.2957,41.8,1.0
6.904,41.8,1.0
6.8825,41.8,1.0
6.9109,41.8,1.0
6.6817,41.8,1.0
6.9947,41.8,1.0
7.1161,41.8,1.0
6.9472,41.8,1.0
7.0296,41.8,1.0
7.112,41.8,1.0
6.8796,41.8,1.0
7.1303,41.8,1.0
6.6628,41.8,1.0
7.3685,41.8,1.0
6.7698,41.8,1.0
7.2572,41.8,1.0
6.8639,41.8,1.0
6.8827,41.8,1.0
7.1051,41.8,1.0
7.2073,41.8,1.0
7.0246,41.8,1.0
7.0048,41.8,1.0
6.9932,41.8,1.0
6.9191,41.8,1.0
7.2625,41.8,1.0
6.997,41.8,1.0
6.9391,41.8,1.0
6.8617,41.8,1.0
7.0021,41.8,1.0
7.1504,41.8,1.0
7.0414,41.8,1.0
6.7979,41.8,1.0
6.8596,41.8,1.0
6.8631,41.8,1.0
6.1828,41.8,1.0
7.137,41.8,1.0
7.0838,41.8,1.0
7.0788,41.8,1.0
7.2065,41.8,1.0
6.553,41.8,1.0
6.8213,41.8,1.0
6.9983,41.8,1.0
7.1166,41.8,1.0
7.152,41.8,1.0
7.2908,41.8,1.0
6.901,41.8,1.0
6.8673,41.8,1.0
7.0824,41.8,1.0
6.8241,41.8,1.0
6.8263,41.8,1.0
6.9389,41.8,1.0
7.3265,41.8,1.0
6.8523,41.8,1.0
6.5196,41.8,1.0
6.9631,41.8,1.0
7.1306,41.8,1.0
7.0719,41.8,1.0
7.2182,41.8,1.0
6.8605,41.8,1.0
6.9915,41.8,1.0
6.9491,41.8,1.0
6.8631,41.8,1.0
7.1453,41.8,1.0
6.9589,41.8,1.0
6.9343,41.8,1.0
6.9941,41.8,1.0
6.85,41.8,1.0
6.9958,41.8,1.0
6.7677,41.8,1.0
6.5031,41.8,1.0
6.3301,41.8,1.0
6.5566,41.8,1.0
6.8998,41.8,1.0
6.9713,41.8,1.0
7.0026,41.8,1.0
6.6991,41.8,1.0
7.0303,41.8,1.0
6.9006,41.8,1.0
6.8796,41.8,1.0
6.6949,41.8,1.0
7.0611,41.8,1.0
7.0396,41.8,1.0
7.1308,41.8,1.0
6.9737,41.8,1.0
6.913,41.8,1.0
7.1411,41.8,1.0
7.0785,41.8,1.0
6.7811,41.8,1.0
6.9249,41.8,1.0
7.0209,41.8,1.0
7.0071,41.8,1.0
7.0033,41.8,1.0
6.8752,41.8,1.0
7.1257,41.8,1.0
7.0165,41.8,1.0
7.0438,41.8,1.0
7.1032,41.8,1.0
7.0521,41.8,1.0
7.2201,41.8,1.0
6.9874,41.8,1.0
7.1359,41.8,1.0
6.6677,41.8,1.0
7.1244,41.8,1.0
7.0896,41.8,1.0
6.8652,41.8,1.0
6.9014,41.8,1.0
7.1332,41.8,1.0
7.0825,41.8,1.0
7.0614,41.8,1.0
6.9536,41.8,1.0
6.8519,41.8,1.0
7.0919,41.8,1.0
6.6376,41.8,1.0
6.8769,41.8,1.0
7.0354,41.8,1.0
6.8804,41.8,1.0
7.1249,41.8,1.0
6.9462,41.8,1.0
6.8956,41.8,1.0
6.8318,41.8,1.0
6.987,41.8,1.0
7.0483,41.8,1.0
6.7733,41.8,1.0
7.0248,41.8,1.0
7.0179,41.8,1.0
6.7103,41.8,1.0
6.735,41.8,1.0
6.9779,41.8,1.0
6.8071,41.8,1.0
6.6156,41.8,1.0
7.0809,41.8,1.0
6.9492,41.8,1.0
6.7194,41.8,1.0
6.7543,41.8,1.0
6.9209,41.8,1.0
7.1908,41.8,1.0
6.7546,41.8,1.0
7.1034,41.8,1.0
6.7457,41.8,1.0
7.236,41.8,1.0
6.7431,41.8,1.0
7.1581,41.8,1.0
7.3399,41.8,1.0
7.1487,41.8,1.0
6.712,41.8,1.0
6.8759,41.8,1.0
6.9786,41.8,1.0
6.5447,41.8,1.0
6.9672,41.8,1.0
6.938,41.8,1.0
6.855,41.8,1.0
6.9883,41.8,1.0
6.689,41.8,1.0
6.9997,41.8,1.0
7.0302,41.8,1.0
6.7367,55.7,1.0
6.6771,55.7,1.0
7.0819,55.7,1.0
7.0778,55.7,1.0
6.7343,55.7,1.0
7.0349,55.7,1.0
6.7755,55.7,1.0
7.0064,55.7,1.0
7.0151,55.7,1.0
6.8959,55.7,1.0
6.8392,55.7,1.0
6.9964,55.7,1.0
7.2844,55.7,1.0
7.1231,55.7,1.0
7.0371,55.7,1.0
6.8981,55.7,1.0
6.9318,55.7,1.0
6.8861,55.7,1.0
6.79,55.7,1.0
6.4837,55.7,1.0
6.7413,55.7,1.0
6.7502,55.7,1.0
6.5859,55.7,1.0
7.141,55.7,1.0
7.0131,55.7,1.0
6.8314,55.7,1.0
6.9281,55.7,1.0
6.7738,55.7,1.0
7.0423,55.7,1.0
6.9683,55.7,1.0
7.3205,55.7,1.0
7.0658,55.7,1.0
7.1405,55.7,1.0
6.9919,55.7,1.0
7.0681,55.7,1.0
7.0364,55.7,1.0
7.0485,55.7,1.0
6.9735,55.7,1.0
7.0937,55.7,1.0
