Loss,Mem,Throughput,lr,0,1,2,3
9.6173,43.6,25608.4854,1.0,,,,
9.6394,43.603,22890.79,1.0,,,,
9.62,43.603,28806.9638,1.0,,,,
9.6241,43.603,25700.5025,1.0,,,,
9.621,43.603,26964.27,1.0,,,,
9.6193,43.603,24153.4834,1.0,,,,
9.5852,43.603,26170.6663,1.0,,,,
9.6407,43.603,24138.2522,1.0,,,,
9.5823,43.603,28093.7523,1.0,,,,
9.6332,43.603,27990.942,1.0,,,,
9.5595,43.603,31154.795,1.0,,,,
9.6076,43.608,22720.2436,1.0,,,,
9.5726,43.608,23107.049,1.0,,,,
9.6014,43.608,24854.1888,1.0,,,,
9.5525,43.608,31472.1512,1.0,,,,
9.594,43.608,26050.5348,1.0,,,,
9.5635,43.608,30810.0698,1.0,,,,
9.5384,43.608,26173.7424,1.0,,,,
9.58,43.608,24250.0219,1.0,,,,
9.548,43.608,28121.5206,1.0,,,,
9.573,43.608,24836.3374,1.0,,,,
9.5585,43.603,27459.1838,1.0,,,,
9.5288,43.603,24831.5503,1.0,,,,
9.5201,43.603,27301.9472,1.0,,,,
9.5197,43.603,29554.3929,1.0,,,,
9.5287,43.603,27000.5424,1.0,,,,
9.4763,43.603,32078.5905,1.0,,,,
9.4889,43.603,29270.1426,1.0,,,,
9.4716,43.603,30444.063,1.0,,,,
9.5021,43.603,28379.0895,1.0,,,,
9.5176,43.603,24571.2457,1.0,,,,
9.5136,43.599,26398.7561,1.0,,,,
9.5334,43.599,22338.6327,1.0,,,,
9.4732,43.599,30231.981,1.0,,,,
9.454,43.599,31152.2973,1.0,,,,
9.4431,43.599,27944.0171,1.0,,,,
9.4604,43.599,24565.8246,1.0,,,,
9.4807,43.599,25493.1382,1.0,,,,
9.4133,43.599,27226.7298,1.0,,,,
9.475,43.599,25637.8964,1.0,,,,
9.4713,43.599,29915.4065,1.0,,,,
9.4925,43.602,23748.7855,1.0,,,,
9.4838,43.602,29354.4114,1.0,,,,
9.3854,43.602,31495.5222,1.0,,,,
9.4135,43.602,32087.4947,1.0,,,,
9.4224,43.602,27734.9841,1.0,,,,
9.4303,43.602,23250.9176,1.0,,,,
9.4279,43.602,26022.4924,1.0,,,,
9.4043,43.602,25007.9156,1.0,,,,
9.4439,43.602,22493.496,1.0,,,,
9.4237,43.602,27834.8439,1.0,,,,
9.4129,43.601,30447.7534,1.0,,,,
9.4002,43.601,26875.6445,1.0,,,,
9.3843,43.601,27183.2712,1.0,,,,
9.3541,43.601,32816.4876,1.0,,,,
9.3601,43.601,31000.9659,1.0,,,,
9.3622,43.601,27466.999,1.0,,,,
9.341,43.601,29897.6241,1.0,,,,
9.3296,43.601,28553.1528,1.0,,,,
9.3915,43.601,26708.8403,1.0,,,,
9.3782,43.601,27570.8322,1.0,,,,
9.361,43.61,29710.3803,1.0,,,,
9.3689,43.61,27248.2859,1.0,,,,
9.3337,43.61,29623.3378,1.0,,,,
9.3725,43.61,21657.7976,1.0,,,,
9.319,43.61,26033.3324,1.0,,,,
9.3409,43.61,28075.5263,1.0,,,,
9.3521,43.61,28904.844,1.0,,,,
9.4192,43.61,22259.8942,1.0,,,,
9.3208,43.61,31057.2204,1.0,,,,
9.3145,43.61,31330.9888,1.0,,,,
9.3266,43.605,28628.2189,1.0,,,,
9.3549,43.605,29187.0678,1.0,,,,
9.2922,43.605,31625.7759,1.0,,,,
9.3363,43.605,29858.2317,1.0,,,,
9.2834,43.605,26912.4016,1.0,,,,
9.2723,43.605,28681.7687,1.0,,,,
9.2699,43.605,31149.6815,1.0,,,,
9.3036,43.605,27780.9781,1.0,,,,
9.2973,43.605,24162.9358,1.0,,,,
9.2742,43.605,26144.6607,1.0,,,,
9.3566,43.601,26989.4669,1.0,,,,
9.2932,43.601,25249.1151,1.0,,,,
9.2746,43.601,33151.8918,1.0,,,,
9.2808,43.601,28558.6157,1.0,,,,
9.2363,43.601,27721.8425,1.0,,,,
